year,rating,num_reviews,body,acidity,price
2018,4.5,384,5,3,37.7
2015,4.5,365,4,3,42.75
2016,4.5,353,4,3,175.57
2018,4.5,336,4,3,61.64
2017,4.5,322,5,3,30.7
2017,4.5,318,4,2,56.5
2013,4.5,316,5,3,207.11
2011,4.5,301,4,3,110.5
2016,4.5,297,5,3,55.95
1995,4.5,292,4,3,170
2015,4.5,286,4,3,107.9
2011,4.5,264,5,3,69.9
2017,4.5,261,5,3,49.5
2014,4.5,249,4,3,176.98
2012,4.5,246,4,3,90
2014,4.5,230,4,3,65
2006,4.5,229,4,3,95
2009,4.5,229,5,3,39
1995,4.5,226,5,3,193
2016,4.5,222,4,3,174.91
1987,4.5,221,5,3,312
2018,4.5,218,5,3,52.9
2017,4.5,217,5,3,40.9
2013,4.5,214,4,3,157.95
2015,4.5,213,5,3,77.5
2011,4.5,213,5,3,116
2006,4.5,207,4,3,75
2015,4.5,205,5,3,80.98
2017,4.5,203,4,3,64.5
2019,4.5,201,5,3,118.5
2015,4.5,197,4,3,64
2003,4.5,196,4,3,95
2009,4.5,194,4,3,125.97
2017,4.5,194,5,3,26.5
2015,4.5,190,5,3,54.01
2014,4.5,189,5,3,104.9
2015,4.5,189,4,3,170.5
2014,4.5,189,5,3,315
2019,4.5,188,3,3,34.9
2015,4.5,187,5,3,51.5
,4.5,186,4,3,112.26
2016,4.5,186,4,3,71.85
2020,4.5,184,3,3,38.9
2017,4.5,178,5,3,54.09
2017,4.5,174,4,3,67.9
2016,4.5,173,4,3,80.95
,4.5,171,5,1,114.5
2018,4.5,170,3,3,50.34
2014,4.5,165,5,3,57.96
2016,4.5,163,4,3,73.62
2016,4.5,162,3,3,144.78
2005,4.5,161,2,3,90
2015,4.5,156,4,3,89.95
2015,4.5,154,5,3,92.8
2013,4.5,147,4,3,48.9
2016,4.5,144,5,3,70.55
2006,4.5,142,2,3,110
2009,4.5,141,4,3,139.3
2018,4.5,141,5,3,59.8
2014,4.5,140,4,3,75
2015,4.5,140,5,3,57
2013,4.5,137,4,2,253.47
2017,4.5,134,,,49.95
2015,4.5,134,5,3,298
2009,4.5,132,4,3,73.6
2013,4.5,132,4,3,58
2016,4.5,128,5,3,54
2018,4.5,128,5,3,78.38
1988,4.5,126,5,3,228.63
2011,4.5,121,4,3,228.9
2010,4.5,121,4,3,81.3
2018,4.5,117,5,3,165
2014,4.5,115,5,3,54.9
2020,4.5,115,,,55
2010,4.5,113,4,3,131.85
2015,4.5,113,5,3,148.39
2011,4.5,110,5,3,39
2015,4.5,107,4,3,67.1
1996,4.5,106,5,3,199.45
2015,4.5,104,5,3,52
2016,4.5,104,4,3,34.9
2017,4.5,103,5,3,75.81
2017,4.5,103,4,3,84.36
2016,4.5,103,5,3,47.95
2001,4.5,103,4,3,391.65
2019,4.5,104,5,3,32.5
2004,4.5,102,4,3,198
